Cluster	Dataset	Feature Id	Mass	Net	Drift	Charge
14538	0	4095	1619.819243	0.136682873	16.9825	3
14538	0	4096	1619.823322	0.154074706	16.92477	3
14538	1	3809	1619.819389	0.153340628	17.03572	3
14538	1	3810	1619.820885	0.144577655	17.04019	3
14538	2	4129	1619.816181	0.138391396	17.01356	3
14538	2	4130	1619.818341	0.151194555	16.99324	3
14538	3	4060	1619.807789	0.1438688	17.11945	3
14538	3	4061	1619.81422	0.157534916	17.09909	3
14538	4	4007	1619.808293	0.140440193	17.05532	3
14538	4	4008	1619.811753	0.15342414	17.01977	3
14538	5	3694	1619.819895	0.155618366	16.99172	3
14538	5	3695	1619.821749	0.140659467	17.08376	3
14538	6	3903	1619.819266	0.157323719	17.02132	3
14538	6	3904	1619.819836	0.143538498	17.08218	3
14538	7	3805	1619.813568	0.147039228	17.04316	3
14538	7	3806	1619.81416	0.156239415	17.03447	3
14538	8	4029	1619.822248	0.156118428	17.03138	3
14538	8	4030	1619.824799	0.134182771	17.05156	3
14538	9	3548	1619.814138	0.15028987	17.02592	3
14538	9	3549	1619.814928	0.143540617	17.15124	3
14538	10	3245	1619.81731	0.165228121	16.98932	3
14538	10	3246	1619.81799	0.137763483	17.06518	3
14538	11	3883	1619.81683	0.154687758	16.99584	3
14538	11	3884	1619.81792	0.13650996	16.97348	3
14538	12	4009	1619.810213	0.154772642	17.21047	3
14538	12	4010	1619.814473	0.161860413	17.07834	3
14538	12	4011	1619.816143	0.138718624	17.08099	3
14538	13	3996	1619.811832	0.13588717	17.12031	3
14538	13	3997	1619.815162	0.157354803	16.96237	3
14538	14	3645	1619.809399	0.154402202	17.17517	3
14538	14	3646	1619.810689	0.144903732	17.01965	3
14538	14	3647	1619.815519	0.160101284	16.90933	3
14538	15	4211	1619.817183	0.136830851	16.98815	3
14538	15	4212	1619.817603	0.155788651	16.84371	3
14538	16	3914	1619.817232	0.151665306	17.19181	3
14538	16	3915	1619.826048	0.140099655	17.09634	3
14538	16	3916	1619.825956	0.16154915	16.88314	3
14538	17	4048	1619.812131	0.13823504	17.04482	3
14538	17	4049	1619.816481	0.156478264	16.96262	3
14538	18	3926	1619.809062	0.15601387	17.12886	3
14538	18	3927	1619.817392	0.141768924	17.03362	3
14538	18	3928	1619.820401	0.158776842	16.8771	3
14538	19	3971	1619.814964	0.136398315	16.99495	3
14538	19	3972	1619.817275	0.151375433	17.18536	3
14538	19	3973	1619.820705	0.16120774	16.95356	3
14538	20	3957	1619.822303	0.136610946	16.83258	3
14538	20	3958	1619.824005	0.158602745	16.93864	3
14538	20	3959	1619.841406	0.15658756	17.16528	3
14538	21	3261	1619.819975	0.157140282	17.11529	3
14538	21	3262	1619.819469	0.131906621	17.03309	3
14538	22	3840	1619.817035	0.16088078	17.00386	3
14538	22	3841	1619.818415	0.136742371	17.06743	3
14538	23	3779	1619.812662	0.155950717	16.81685	3
14538	23	3780	1619.814502	0.142148648	16.94099	3
14538	24	4027	1619.816007	0.158877619	16.96764	3
14538	24	4028	1619.816407	0.137714892	16.9645	3
14538	24	4029	1619.818807	0.155316369	17.10193	3
14538	25	3565	1619.817663	0.15109427	16.94421	3
14538	25	3566	1619.819153	0.141066945	17.02023	3
14538	26	3784	1619.817987	0.162330304	17.0205	3
14538	26	3785	1619.821187	0.143921151	16.83621	3
14538	27	3897	1619.807265	0.156194782	17.19572	3
14538	27	3898	1619.813135	0.136955709	17.08403	3
14538	27	3899	1619.817435	0.158237716	17.01469	3
14538	28	3997	1619.816884	0.159186801	16.99658	3
14538	28	3998	1619.821294	0.156064778	17.1402	3
14538	28	3999	1619.823904	0.138844589	17.06017	3
14538	29	3610	1619.817741	0.154087427	16.8792	3
14538	29	3611	1619.821391	0.140679011	17.0408	3
14538	30	3829	1619.797167	0.154307891	17.2573	3
14538	30	3830	1619.808617	0.139755667	17.05921	3
14538	30	3831	1619.815467	0.161304152	16.96313	3
