Cluster	Dataset	Feature Id	Mass	Net	Drift	Charge
14538	31	3762	1619.813265	0.158054206	17.00418	3
14538	31	3763	1619.813905	0.140215066	17.00305	3
14538	32	3247	1619.811911	0.163581012	16.9845	3
14538	32	3248	1619.812941	0.141568673	17.05565	3
14538	33	4041	1619.820531	0.15315385	16.98448	3
14538	33	4042	1619.821201	0.135989278	17.02305	3
14538	34	3429	1619.815833	0.14080405	16.92174	3
14538	34	3430	1619.817363	0.159380589	16.88914	3
14538	35	3757	1619.821069	0.156366365	17.00742	3
14538	35	3758	1619.823589	0.138661989	16.98993	3
14538	36	2831	1619.819978	0.139502386	16.91328	3
14538	36	2832	1619.817878	0.162996224	16.82879	3
14538	37	4330	1619.81336	0.142805984	17.03364	3
14538	37	4331	1619.81544	0.15643908	16.89838	3
14538	38	3833	1619.824629	0.141255536	16.93912	3
14538	38	3834	1619.823999	0.158683177	16.98267	3
14538	39	4080	1619.816655	0.135866204	16.91849	3
14538	39	4081	1619.818915	0.162151223	16.99369	3
14538	39	4083	1619.824485	0.15338955	17.2312	3
14538	40	3846	1619.81992	0.15255225	17.07263	3
14538	40	3847	1619.821957	0.141837976	17.07062	3
14538	41	4249	1619.813762	0.151700731	16.99387	3
14538	41	4250	1619.818712	0.142612273	17.03649	3
14538	42	3818	1619.815052	0.138084109	17.01224	3
14538	42	3819	1619.820583	0.152698065	16.97124	3
14538	43	3140	1619.819243	0.161806441	17.06398	3
14538	43	3141	1619.821113	0.138655225	17.08329	3
14538	44	3782	1619.811478	0.138884145	17.00626	3
14538	44	3783	1619.819188	0.158875062	17.00953	3
14538	44	3784	1619.820638	0.154490127	17.17724	3
14538	45	3701	1619.819684	0.153760393	17.02454	3
14538	45	3702	1619.820224	0.139479884	17.10107	3
14538	46	3801	1619.812859	0.142774381	17.09845	3
14538	46	3802	1619.815473	0.150799297	16.96581	3
14538	47	3593	1619.820119	0.135239963	17.131	3
14538	47	3594	1619.820549	0.161364704	16.99766	3
14538	48	3755	1619.821739	0.152073627	16.94898	3
14538	48	3756	1619.822859	0.141911424	17.01817	3
14538	49	3716	1619.822089	0.155135521	16.87067	3
14538	49	3717	1619.822969	0.138506698	17.10267	3
14538	50	3817	1619.816387	0.149186003	17.00354	3
14538	50	3818	1619.818029	0.135101511	16.9865	3
14538	51	3349	1619.810644	0.14415119	17.06568	3
14538	51	3350	1619.818634	0.154825683	16.98892	3
14538	52	3616	1619.818665	0.154187567	16.98044	3
14538	52	3617	1619.822535	0.140291709	17.01064	3
14538	53	3590	1619.798441	0.156165391	17.25829	3
14538	53	3591	1619.81059	0.140718177	17.04463	3
14538	53	3592	1619.81953	0.160375716	17.02034	3
14538	54	3101	1619.814717	0.154458612	17.02479	3
14538	54	3102	1619.816556	0.142794178	17.11788	3
14538	55	3606	1619.820149	0.139012445	17.04051	3
14538	55	3607	1619.824769	0.150151646	17.03549	3
14538	56	3731	1619.813425	0.152995275	17.27058	3
14538	56	3732	1619.817315	0.161406481	17.05594	3
14538	56	3733	1619.821125	0.143576476	16.95695	3
14538	57	3195	1619.820601	0.154036428	17.05193	3
14538	58	3300	1619.81916	0.156384744	17.11704	3
14538	58	3301	1619.81936	0.142322259	17.1056	3
14538	59	2938	1619.820894	0.141160979	17.0028	3
14538	59	2939	1619.821574	0.158766768	17.08448	3
14538	60	2779	1619.817763	0.144144219	17.09559	3
14538	60	2780	1619.823743	0.167255459	17.06311	3
14538	61	3200	1619.815231	0.144034954	17.05013	3
14538	61	3201	1619.81832	0.157114049	17.00623	3
14538	62	3699	1619.821135	0.162138706	16.96835	3
14538	63	3196	1619.816057	0.155140666	17.01899	3
14538	63	3197	1619.817047	0.141925319	17.01866	3
14538	64	3154	1619.81415	0.14306027	17.03576	3
14538	64	3155	1619.82117	0.157550512	16.96858	3
14538	65	3315	1619.82061	0.155476864	16.99762	3
14538	65	3316	1619.82327	0.142834126	17.10335	3
14538	66	3416	1619.816128	0.136576849	17.0662	3
14538	66	3417	1619.819098	0.158490311	17.00809	3
14538	67	3485	1619.81594	0.142413873	17.03662	3
14538	67	3486	1619.81958	0.158052522	17.02472	3
14538	68	3499	1619.812126	0.139039253	16.97516	3
14538	68	3500	1619.819156	0.161446017	16.98809	3
14538	69	3393	1619.819024	0.144484504	17.03118	3
14538	69	3394	1619.820164	0.155328303	17.0095	3
14538	70	3237	1619.818938	0.157943791	17.08735	3
14538	70	3238	1619.824118	0.140628948	17.09979	3
14538	71	3168	1619.81206	0.142053504	17.00956	3
14538	71	3169	1619.81801	0.155324471	17.03835	3
14538	72	3167	1619.819824	0.168835128	17.03109	3
14538	72	3168	1619.824234	0.134013736	17.07057	3
14538	73	3260	1619.820196	0.161472805	17.06766	3
14538	73	3261	1619.821676	0.138960608	17.01973	3
14538	74	3200	1619.815065	0.168212115	17.00757	3
14538	74	3201	1619.819775	0.137040725	17.117	3
14538	75	3311	1619.813099	0.152167913	17.12565	3
14538	75	3312	1619.820489	0.143773197	17.12248	3
14538	76	3435	1619.817349	0.143464793	17.10002	3
14538	76	3436	1619.820449	0.161682302	16.9684	3
14538	77	3188	1619.820874	0.150817082	17.15268	3
14538	77	3189	1619.823873	0.143404299	17.08768	3
14538	78	3391	1619.817416	0.151414656	17.15617	3
14538	78	3392	1619.818396	0.13961038	17.19287	3
14538	79	3398	1619.820648	0.135093311	17.17191	3
14538	79	3399	1619.820185	0.15355812	17.2117	3
14538	80	3140	1619.814858	0.140400996	17.18261	3
14538	80	3141	1619.816408	0.161895088	17.11681	3
14538	81	4213	1619.816877	0.146492442	16.99503	3
14538	81	4214	1619.818557	0.167343714	16.99699	3
14538	82	3216	1619.819024	0.161485525	17.01073	3
14538	82	3217	1619.820444	0.142970611	17.05439	3
14538	83	3521	1619.816903	0.149703891	17.18633	3
14538	83	3522	1619.821103	0.144725566	17.07125	3
14538	84	3458	1619.814653	0.141464317	17.12568	3
14538	84	3459	1619.816523	0.152887242	17.01912	3
14538	85	3216	1619.816062	0.140777121	17.12477	3
14538	85	3217	1619.818983	0.163745847	17.02364	3
14538	86	3545	1619.816475	0.159001961	17.09994	3
14538	86	3546	1619.817325	0.143441592	17.1636	3
14538	87	3488	1619.8196	0.139121779	17.07771	3
14538	88	3237	1619.814701	0.151689174	17.06004	3
14538	88	3238	1619.819011	0.135337447	17.09403	3
14538	89	3207	1619.813781	0.141996946	17.22383	3
14538	89	3208	1619.814761	0.151380899	16.99249	3
14538	90	2849	1619.815984	0.136449031	17.14929	3
14538	91	3227	1619.812436	0.140945437	17.1126	3
14538	91	3228	1619.815306	0.151406333	17.2184	3
14538	92	3095	1619.812317	0.158335679	17.10823	3
14538	92	3096	1619.818127	0.143740426	17.02301	3
14538	93	3172	1619.816827	0.142936958	17.06657	3
14538	93	3173	1619.818645	0.158389992	16.9853	3
14538	94	2909	1619.814604	0.143962259	17.13844	3
14538	94	2910	1619.818214	0.158081536	16.98879	3
14538	95	3768	1619.815484	0.142078043	17.06996	3
14538	95	3769	1619.819634	0.15853868	17.07058	3
14538	96	3031	1619.813357	0.140754886	17.06454	3
14538	96	3032	1619.814597	0.155262071	17.05397	3
14538	97	3063	1619.816232	0.139851642	17.11905	3
14538	97	3064	1619.820122	0.154841324	17.07327	3
14538	98	3245	1619.811369	0.136861315	17.11374	3
14538	98	3246	1619.819605	0.155862251	17.10588	3
14538	98	3247	1619.830684	0.154302741	17.2827	3
14538	99	2785	1619.813797	0.140224729	17.09082	3
14538	99	2786	1619.819547	0.159462627	17.04459	3
14538	100	3832	1619.818905	0.143315228	16.91476	3
14538	100	3833	1619.819985	0.158559115	16.96804	3
14538	101	3245	1619.81817	0.141454204	17.09392	3
14538	101	3246	1619.8226	0.159162519	17.06647	3
14538	102	3270	1619.80406	0.140832243	17.13035	3
14538	102	3271	1619.8133	0.162171669	17.05543	3
14538	103	3037	1619.81058	0.150680108	17.4097	3
14538	103	3038	1619.82171	0.143343917	17.08661	3
14538	103	3039	1619.82239	0.158521643	17.09015	3
14538	104	3334	1619.814278	0.141603013	17.08337	3
14538	104	3335	1619.815498	0.153433358	17.17394	3
14538	105	3987	1619.80941	0.155177542	17.23095	3
14538	105	3988	1619.813885	0.159974049	16.92763	3
14538	105	3989	1619.819778	0.14133308	16.94871	3
14538	106	3422	1619.820109	0.132359474	17.0937	3
14538	106	3423	1619.821635	0.161348743	17.13989	3
14538	107	3258	1619.815709	0.154317955	17.09843	3
14538	107	3259	1619.817889	0.136704074	17.13581	3
14538	108	4169	1619.821145	0.142038999	17.04235	3
14538	108	4170	1619.822695	0.163786052	16.9745	3
14538	109	3262	1619.822109	0.155488151	17.04644	3
14538	110	4066	1619.818364	0.137898038	16.9764	3
14538	110	4067	1619.820354	0.156171773	16.94416	3
14538	110	4068	1619.822214	0.150377446	17.11557	3
14538	111	3275	1619.818441	0.141199083	17.10625	3
14538	111	3276	1619.821801	0.160312972	17.02397	3
14538	112	4134	1619.819121	0.143723547	17.01384	3
14538	112	4135	1619.820371	0.156781569	16.9983	3
14538	113	3949	1619.819189	0.140213326	16.94601	3
14538	113	3950	1619.822569	0.151921263	16.95396	3
14538	114	3727	1619.814354	0.155614796	17.23488	3
14538	114	3729	1619.824151	0.139617583	16.92463	3
14538	115	4115	1619.81788	0.14178058	17.00764	3
14538	115	4116	1619.817375	0.152298861	17.06904	3
14538	116	4129	1619.814797	0.132050251	17.05882	3
14538	116	4130	1619.816177	0.155598177	17.00591	3
14538	117	3270	1619.814474	0.141642806	17.10889	3
14538	117	3271	1619.819415	0.157707379	17.05179	3
14538	118	3824	1619.79948	0.153958078	17.25036	3
14538	118	3825	1619.81562	0.140962522	16.96315	3
14538	118	3826	1619.81586	0.157666096	17.09325	3
14538	119	3992	1619.819386	0.138110515	16.93439	3
14538	119	3993	1619.816092	0.157611531	17.27649	3
14538	119	3994	1619.818412	0.161927824	16.96095	3
14538	120	3897	1619.820402	0.154639699	16.98649	3
14538	120	3898	1619.822955	0.138612602	17.04155	3
14538	121	4089	1619.816542	0.140694137	17.1838	3
14538	121	4090	1619.820872	0.167316418	17.04187	3
14538	121	4091	1619.829252	0.153500643	17.27047	3
14538	122	3699	1619.817253	0.154122696	17.13394	3
14538	122	3700	1619.819043	0.140904649	17.0716	3
14538	123	3779	1619.809123	0.140661883	17.16359	3
14538	123	3780	1619.816802	0.16346685	17.01361	3
14538	124	4405	1619.816218	0.139707544	16.99605	3
14538	124	4406	1619.817548	0.158656074	16.91289	3
14538	124	4407	1619.827288	0.155203039	17.1947	3
14538	125	4027	1619.81778	0.155865592	17.00275	3
14538	125	4028	1619.81975	0.143010148	17.07741	3
14538	126	3759	1619.810005	0.154843598	17.25106	3
14538	126	3760	1619.812575	0.135654581	17.06075	3
14538	126	3761	1619.814085	0.162817218	16.94027	3
14538	127	3839	1619.816986	0.154968545	17.17406	3
14538	127	3840	1619.818926	0.143941935	17.07712	3
14538	127	3841	1619.819096	0.1597121	17.0498	3
14538	128	3666	1619.821771	0.149456504	17.10729	3
14538	128	3667	1619.823321	0.135421351	17.08393	3
14538	129	4034	1619.815652	0.149683362	17.32963	3
14538	129	4035	1619.816632	0.14218337	17.02082	3
14538	129	4036	1619.819491	0.16093335	17.02708	3
14538	130	3719	1619.807722	0.153973392	17.09903	3
14538	130	3720	1619.811352	0.141919833	17.09755	3
14538	130	3721	1619.814812	0.158466475	16.93375	3
14538	131	3820	1619.810268	0.153017846	17.11299	3
14538	131	3821	1619.820555	0.1405395	16.89869	3
14538	131	3822	1619.816454	0.15830264	16.89599	3
14538	132	4255	1619.817339	0.162117105	16.93015	3
14538	132	4256	1619.821853	0.141055779	16.99556	3
14538	132	4257	1619.822199	0.152785317	17.21555	3
14538	133	4146	1619.807496	0.141558077	17.04447	3
14538	133	4147	1619.813086	0.153742036	16.94175	3
14538	134	3617	1619.811616	0.142083714	16.88698	3
14538	134	3618	1619.815366	0.151034246	16.99153	3
14538	135	3835	1619.814619	0.155256521	17.16752	3
14538	135	3836	1619.819359	0.134772748	17.06647	3
14538	135	3837	1619.820539	0.159725058	16.95741	3
14538	136	3968	1619.814063	0.15790283	16.9099	3
14538	136	3969	1619.82077	0.14493046	17.00121	3
14538	137	3748	1619.819776	0.142880982	17.01785	3
14538	137	3750	1619.820486	0.159474627	17.09163	3
14538	137	3751	1619.823636	0.152890967	17.15462	3
14538	138	3564	1619.820637	0.159286988	16.90267	3
14538	138	3565	1619.824915	0.143094241	17.01071	3
14538	139	3472	1619.810556	0.153680983	17.40594	3
14538	139	3473	1619.819876	0.143689103	17.03227	3
14538	139	3474	1619.821685	0.155227552	17.02171	3
14538	140	3594	1619.813378	0.134839051	16.95794	3
14538	140	3595	1619.817968	0.161182428	16.90332	3
14538	141	3744	1619.819715	0.132445536	17.02082	3
14538	141	3745	1619.821505	0.157669601	17.26368	3
14538	141	3746	1619.822605	0.160819156	17.02581	3
14538	142	3679	1619.804381	0.155940207	16.9851	3
14538	142	3680	1619.816301	0.143209346	17.10246	3
14538	142	3681	1619.819711	0.159068183	16.95027	3
14538	143	3580	1619.817915	0.159372079	16.93786	3
14538	143	3581	1619.822355	0.145111789	16.97383	3
14538	144	3491	1619.818984	0.156457269	16.94135	3
14538	144	3492	1619.819914	0.138331133	17.06109	3
14538	145	3788	1619.818134	0.140965588	17.00905	3
14538	145	3789	1619.815512	0.15356076	16.94321	3
14538	146	4115	1619.812998	0.152410873	17.17871	3
14538	146	4116	1619.819568	0.162148824	16.93327	3
14538	147	3796	1619.814816	0.14997354	16.9407	3
14538	147	3797	1619.818846	0.142867893	17.03387	3
14538	148	4251	1619.811615	0.138307909	17.08466	3
14538	148	4252	1619.822847	0.165317639	16.95103	3
14538	149	4187	1619.811347	0.15049794	17.21625	3
14538	149	4189	1619.820898	0.135921757	17.01263	3
14538	149	4190	1619.820687	0.162157053	17.01426	3
14538	150	3441	1619.815393	0.16001388	17.04006	3
14538	150	3442	1619.815423	0.135765107	17.06123	3
