Cluster Id	Dataset Id	Feature Id	Mono Mass	NET	Drift Time	charge
12433	0	3525	911.4983912	0.208187804	17.97983	3
12433	0	3527	911.4999659	0.229703647	18.01296	3
12433	0	3528	911.4918818	0.215981618	17.96494	3
12433	1	3299	911.4932951	0.229448098	17.95969	3
12433	1	3301	911.4937755	0.215410683	18.04485	3
12433	1	3302	911.4966455	0.230609046	17.9938	3
12433	2	3596	911.4903537	0.215253946	18.0316	3
12433	2	3597	911.4927237	0.230954857	17.99004	3
12433	2	3598	911.499467	0.212645924	17.95069	3
12433	3	3545	911.5015438	0.229016222	17.99529	3
12433	3	3546	911.4922039	0.219367803	17.99778	3
12433	3	3547	911.493504	0.233621698	17.87323	3
12433	4	3473	911.4949201	0.218443405	17.90015	3
12433	4	3474	911.4966701	0.234813703	17.75256	3
12433	4	3475	911.4918777	0.220479238	17.8951	3
12433	5	3179	911.4930777	0.236811973	17.8833	3
12433	5	3180	911.4970538	0.217220056	17.8651	3
12433	5	3181	911.4980286	0.234032677	17.90124	3
12433	5	3182	911.4983386	0.217234486	17.88106	3
12433	6	3367	911.4925497	0.233712207	17.91204	3
12433	6	3369	911.4925798	0.217727569	17.95051	3
12433	6	3370	911.4928772	0.216402713	17.89753	3
12433	7	3293	911.4936472	0.233301837	17.901	3
12433	7	3294	911.4925972	0.230007767	17.85037	3
12433	7	3295	911.4970453	0.218491934	17.96969	3
12433	8	3488	911.4981451	0.234157085	17.83379	3
12433	8	3489	911.4999467	0.213999152	17.9298	3
12433	9	3071	911.5005067	0.232912975	17.87768	3
12433	9	3072	911.4964656	0.217588653	17.93327	3
12433	9	3073	911.4978656	0.233738507	17.85715	3
12433	10	2700	911.4945851	0.231411876	17.88166	3
12433	11	3385	911.4949351	0.215440853	17.97163	3
12433	11	3386	911.4946704	0.217419305	18.00157	3
12433	11	3387	911.4960604	0.237677151	17.82113	3
12433	12	3503	911.4948237	0.219298264	17.98383	3
12433	12	3504	911.4956138	0.234496627	17.93668	3
12433	12	3505	911.4926764	0.231427847	17.96711	3
12433	13	3476	911.4935966	0.215456824	17.94505	3
12433	13	3477	911.4945641	0.215953376	17.98193	3
12433	13	3478	911.4973741	0.23362688	17.94622	3
12433	14	3180	911.494497	0.213274234	17.92413	3
12433	14	3181	911.4968095	0.230947737	17.91738	3
12433	14	3182	911.4912466	0.217810424	17.91276	3
12433	15	3612	911.4921566	0.234208658	18.02135	3
12433	15	3613	911.4957356	0.232912975	17.95445	3
12433	16	3416	911.4969958	0.215729489	17.96505	3
12433	16	3417	911.4938149	0.216176141	17.89581	3
12433	17	3512	911.4942009	0.233789273	17.91264	3
12433	17	3513	911.4986733	0.216386577	17.88563	3
12433	17	3514	911.4992533	0.233184768	17.84514	3
12433	18	3401	911.4974183	0.214691033	17.91349	3
12433	18	3402	911.4983383	0.231103271	17.86663	3
12433	18	3403	911.4917095	0.21701051	17.94585	3
12433	19	3446	911.4942095	0.233408744	17.90151	3
12433	19	3447	911.4933148	0.217074503	17.98359	3
12433	20	3459	911.4956348	0.234272651	17.86879	3
12433	20	3460	911.497103	0.217803496	18.00347	3
12433	20	3461	911.497793	0.23418775	17.89848	3
12433	21	2716	911.4905133	0.213938841	17.96829	3
12433	21	2717	911.4919433	0.232496842	17.78968	3
12433	22	3358	911.4944883	0.21445065	17.92257	3
12433	22	3359	911.4961883	0.229223846	17.89005	3
12433	23	3287	911.4907931	0.21627459	17.99819	3
12433	24	3510	911.4953731	0.232272866	17.81717	3
12433	24	3511	911.4946485	0.215840129	17.9742	3
12433	25	3094	911.4936377	0.232609702	17.88788	3
12433	26	3288	911.4933489	0.207843498	17.87614	3
12433	26	3289	911.4963589	0.231104992	17.94162	3
12433	26	3290	911.4918738	0.233248543	17.97315	3
