Cluster Id	Dataset Id	Feature Id	Mono Mass	NET	Drift Time	charge
12433	0	3525	419.7441	0.296028085	18.60606	3
12433	0	3527	419.74342	0.296087849	18.54951	3
12433	0	3528	419.74818	0.295178091	18.58203	3
12433	1	3299	419.74188	0.296160191	18.47203	3
12433	1	3301	419.74733	0.292333341	18.58687	3
12433	1	3302	419.74987	0.298220349	18.53784	3
12433	2	3596	419.74751	0.295799053	18.45978	3
12433	2	3597	419.74231	0.29948068	18.51244	3
12433	2	3598	419.74786	0.288935135	18.55523	3
12433	3	3545	419.75125	0.297113882	18.47772	3
12433	3	3546	419.74793	0.294741555	18.35237	3
12433	3	3547	419.74479	0.29619072	18.46842	3
12433	4	3473	419.74687	0.298525918	18.51219	3
12433	4	3474	419.7504	0.297086807	18.50463	3
12433	4	3475	419.74842	0.29543289	18.49655	3
12433	5	3179	419.74921	0.297457756	18.47004	3
12433	5	3180	419.73785	0.294728994	18.40933	3
12433	5	3181	419.74648	0.293320669	18.5162	3
12433	5	3182	419.74323	0.295978005	18.52204	3
12433	6	3367	419.7422	0.294010298	18.55259	3
12433	6	3369	419.74581	0.296556602	18.47027	3
12433	6	3370	419.75716	0.291869107	18.55167	3
12433	7	3293	419.74748	0.296089993	18.48429	3
12433	7	3294	419.74631	0.293946319	18.54815	3
12433	7	3295	419.74773	0.295779495	18.49732	3
12433	8	3488	419.74116	0.294666146	18.615	3
12433	8	3489	419.74502	0.297496775	18.51331	3
12433	9	3071	419.74513	0.297177875	18.64551	3
12433	9	3072	419.74634	0.2969539	18.58059	3
12433	9	3073	419.74004	0.291005146	18.57923	3
12433	10	2700	419.74243	0.294698143	18.4391	3
12433	11	3385	419.74218	0.288500296	18.38876	3
12433	11	3386	419.74141	0.295354072	18.5375	3
12433	11	3387	419.74686	0.295192154	18.52985	3
12433	12	3503	419.7449	0.295674037	18.40255	3
12433	12	3504	419.74789	0.296126459	18.5165	3
12433	12	3505	419.74122	0.298434006	18.50807	3
12433	13	3476	419.74587	0.296648143	18.54936	3
12433	13	3477	419.74861	0.292931294	18.44824	3
12433	13	3478	419.74284	0.296002981	18.5338	3
12433	14	3180	419.73655	0.295990705	18.61419	3
12433	14	3181	419.74922	0.29333091	18.57503	3
12433	14	3182	419.74759	0.295215918	18.53427	3
12433	15	3612	419.74894	0.295578048	18.50833	3
12433	15	3613	419.7479	0.295962006	18.53483	3
12433	16	3416	419.74778	0.294821478	18.43749	3
12433	16	3417	419.74385	0.296137987	18.48318	3
12433	17	3512	419.74846	0.299141326	18.39569	3
12433	17	3513	419.74384	0.297149446	18.46774	3
12433	17	3514	419.74603	0.29709603	18.48766	3
12433	18	3401	419.74275	0.298436998	18.48073	3
12433	18	3402	419.74819	0.292748588	18.51562	3
12433	18	3403	419.74904	0.296131758	18.54355	3
12433	19	3446	419.7501	0.293994327	18.50813	3
12433	19	3447	419.74628	0.294730181	18.48963	3
12433	20	3459	419.7486	0.297396155	18.54917	3
12433	20	3460	419.74592	0.29508737	18.54655	3
12433	20	3461	419.73954	0.297483996	18.56413	3
12433	21	2716	419.74437	0.297723865	18.56279	3
12433	21	2717	419.74672	0.295295966	18.60996	3
12433	22	3358	419.74645	0.294778134	18.55428	3
12433	22	3359	419.74124	0.295886894	18.54052	3
12433	23	3287	419.74557	0.293890516	18.56802	3
12433	24	3510	419.74941	0.289290861	18.69026	3
12433	24	3511	419.74388	0.295990705	18.66362	3
12433	25	3094	419.74544	0.294138067	18.53254	3
12433	26	3288	419.74632	0.294289791	18.58068	3
12433	26	3289	419.74522	0.293028081	18.50809	3
12433	26	3290	419.7471	0.296046846	18.51001	3
12433	27	3412	419.75138	0.298090895	18.53785	3
12433	27	3413	419.75036	0.29708472	18.4384	3
12433	29	3169	419.7503	0.293485785	18.52248	3
12433	29	3170	419.74452	0.29349124	18.47922	3
12433	30	3337	419.74338	0.295436887	18.55644	3
12433	31	3276	419.74381	0.296665931	18.48183	3
12433	31	3277	419.7449	0.290399483	18.57092	3
12433	32	2739	419.74965	0.292141689	18.51529	3
12433	33	3516	419.74553	0.294417866	18.61516	3
12433	33	3517	419.74322	0.293491856	18.53591	3
12433	34	2994	419.74732	0.296688172	18.61696	3
12433	34	2995	419.74123	0.295388933	18.55925	3
12433	34	2996	419.74586	0.29481013	18.6302	3
12433	35	3279	419.7419	0.297380184	18.44938	3
12433	36	2309	419.74249	0.293299588	18.58587	3
12433	37	3723	419.74684	0.289802302	18.4899	3
12433	37	3724	419.7486	0.296094517	18.5234	3
12433	37	3725	419.74797	0.291498487	18.60778	3
12433	38	3351	419.74275	0.297726686	18.51107	3
12433	38	3352	419.7457	0.294497415	18.53866	3
12433	38	3353	419.74537	0.297691619	18.40237	3
12433	39	3567	419.74462	0.293838423	18.47498	3
12433	39	3568	419.7491	0.296711661	18.44251	3
12433	39	3569	419.74122	0.293838423	18.53159	3
12433	40	3353	419.74201	0.295217098	18.4588	3
12433	40	3354	419.74344	0.293890516	18.51792	3
12433	40	3355	419.74371	0.295192154	18.35411	3
12433	41	3668	419.74226	0.298709741	18.47414	3
12433	41	3669	419.75183	0.294637655	18.42582	3
12433	42	3314	419.74986	0.297910509	18.45013	3
12433	42	3315	419.74453	0.292101761	18.45296	3
12433	43	2660	419.74731	0.291598674	18.47017	3
12433	44	3312	419.75064	0.291638602	18.45661	3
12433	45	3185	419.73903	0.295404917	18.52691	3
12433	45	3186	419.74221	0.29559143	18.42684	3
12433	46	3291	419.74735	0.293466275	18.39584	3
12433	46	3292	419.74586	0.292644776	18.59007	3
12433	47	3131	419.74769	0.289450708	18.59031	3
12433	47	3132	419.74407	0.294497415	18.47756	3
12433	48	3286	419.74864	0.296128222	18.57378	3
12433	48	3287	419.74722	0.294238039	18.51924	3
12433	49	3229	419.74813	0.295912429	18.46899	3
12433	49	3230	419.75294	0.296789256	18.38379	3
12433	50	3317	419.7433	0.294666146	18.48074	3
12433	50	3318	419.74837	0.293994327	18.41635	3
12433	51	2928	419.74568	0.296711661	18.57787	3
12433	51	2929	419.74593	0.294393603	18.4475	3
12433	52	3133	419.74054	0.291804378	18.48974	3
12433	52	3134	419.74571	0.297188532	18.52133	3
12433	52	3135	419.74564	0.29490612	18.47872	3
12433	53	3115	419.75128	0.290106637	18.38515	3
12433	53	3116	419.74371	0.293299588	18.58792	3
12433	54	2632	419.74084	0.29546606	18.57219	3
12433	54	2633	419.74479	0.297399001	18.51635	3
12433	55	3095	419.74714	0.291814283	18.59545	3
12433	55	3096	419.74749	0.294393603	18.49056	3
12433	56	3238	419.74696	0.295886894	18.50372	3
12433	56	3239	419.74544	0.295886894	18.57724	3
12433	57	2673	419.74414	0.294880719	18.58512	3
12433	58	2762	419.74645	0.292796501	18.4808	3
12433	58	2763	419.74898	0.293466275	18.465	3
12433	59	2453	419.74729	0.295990705	18.50387	3
12433	61	2675	419.74953	0.290494431	18.72707	3
12433	62	3059	419.74482	0.294393603	18.55794	3
12433	62	3060	419.74828	0.291332831	18.52556	3
12433	62	3061	419.74915	0.296286169	18.56995	3
12433	63	2664	419.74514	0.296877097	18.51388	3
12433	64	2650	419.75069	0.296222285	18.41403	3
12433	64	2651	419.74973	0.294893409	18.67386	3
12433	64	2652	419.74792	0.297483996	18.48029	3
12433	65	2766	419.74844	0.296204149	18.47547	3
12433	65	2767	419.74347	0.292437153	18.42387	3
12433	65	2769	419.74749	0.291598674	18.54737	3
12433	66	2855	419.73963	0.291082532	18.43556	3
12433	66	2857	419.74474	0.29418598	18.53571	3
12433	67	2938	419.74681	0.294792879	18.51304	3
12433	67	2939	419.74638	0.295912429	18.51573	3
12433	67	2940	419.74862	0.2969539	18.59039	3
12433	68	2940	419.74404	0.29444217	18.43135	3
12433	68	2941	419.74361	0.295423734	18.46177	3
12433	68	2942	419.74945	0.294821478	18.48671	3
12433	69	2857	419.74249	0.296389981	18.49605	3
12433	69	2859	419.73876	0.291710471	18.53011	3
12433	69	2860	419.74489	0.292333341	18.54968	3
12433	70	2692	419.74554	0.294421862	18.52895	3
12433	70	2693	419.74617	0.295487618	18.50893	3
12433	71	2669	419.74977	0.293642256	18.46541	3
12433	71	2670	419.74679	0.295990705	18.4727	3
12433	72	2664	419.74818	0.294267618	18.48771	3
12433	72	2665	419.74516	0.295800537	18.53562	3
12433	72	2666	419.743	0.295088342	18.65023	3
12433	73	2730	419.74443	0.290400847	18.5578	3
12433	73	2731	419.74129	0.293682892	18.48243	3
12433	73	2732	419.74607	0.294792879	18.43602	3
12433	74	2713	419.73961	0.293890516	18.54144	3
12433	74	2714	419.74461	0.298282547	18.56854	3
12433	75	2751	419.74323	0.293514734	18.53107	3
12433	75	2753	419.74904	0.295037271	18.58427	3
12433	76	2889	419.74274	0.295066103	18.60734	3
12433	76	2890	419.74482	0.296265974	18.47128	3
12433	76	2891	419.74333	0.293115118	18.53247	3
12433	77	2698	419.7434	0.293595052	18.51051	3
12433	77	2699	419.7453	0.295221094	18.55745	3
12433	77	2700	419.74303	0.290241879	18.5105	3
12433	78	2909	419.74214	0.292442386	18.53438	3
12433	78	2910	419.74379	0.287877426	18.43531	3
12433	78	2911	419.74891	0.291274511	18.50486	3
12433	79	2889	419.74813	0.291702486	18.51914	3
12433	79	2890	419.74435	0.290465664	18.54148	3
12433	79	2891	419.74602	0.291702486	18.54568	3
12433	80	2706	419.74256	0.293595052	18.42084	3
12433	80	2707	419.74368	0.290641495	18.49358	3
12433	81	3507	419.74261	0.29418598	18.54329	3
12433	81	3508	419.74343	0.292639575	18.39679	3
12433	82	2718	419.73627	0.29153479	18.56798	3
12433	82	2719	419.74296	0.295192154	18.44894	3
12433	82	2720	419.74265	0.290991775	18.43717	3
12433	83	2974	419.74308	0.290105383	18.35312	3
12433	83	2975	419.73831	0.289602296	18.34783	3
12433	83	2976	419.74779	0.293994327	18.37443	3
