Cluster Id	Dataset Id	Feature Id	Mono Mass	NET	Drift Time	charge
2466	0	687	906.5083044	0.200204562	18.04493	2
2466	0	688	906.5233849	0.190301403	17.96631	2
2466	1	608	906.5152895	0.203210754	18.04421	2
2466	1	609	906.5255096	0.192022895	17.9926	2
2466	2	680	906.5221054	0.20489086	18.07296	2
2466	2	681	906.533102	0.195271001	18.00884	2
2466	3	704	906.5112018	0.200101508	18.02557	2
2466	3	705	906.5240518	0.190623117	17.96515	2
2466	4	668	906.5152891	0.201672615	18.08393	2
2466	4	669	906.529449	0.189287856	17.98389	2
2466	5	603	906.5183469	0.205630764	17.9471	2
2466	5	604	906.526447	0.194425596	18.08127	2
2466	6	636	906.5132615	0.208998804	17.94413	2
2466	6	637	906.5229027	0.194347132	17.98968	2
2466	7	591	906.5154086	0.205722619	18.16171	2
2466	7	592	906.5261484	0.189056481	17.8227	2
2466	8	601	906.5126697	0.20285685	17.93077	2
2466	8	602	906.5241896	0.191570454	18.11347	2
2466	9	570	906.5264076	0.191414088	17.97238	2
2466	10	441	906.5205926	0.207637136	18.18841	2
2466	10	442	906.5300426	0.19320973	17.9843	2
2466	11	637	906.5191713	0.205567987	17.97818	2
2466	11	638	906.5309932	0.191197403	17.94667	2
2466	12	658	906.5183872	0.203456497	18.06919	2
2466	12	659	906.5292272	0.192316087	17.9932	2
2466	13	669	906.5199185	0.205743615	18.07142	2
2466	13	670	906.5300381	0.191936479	17.86472	2
2466	14	629	906.5107515	0.19987138	17.97041	2
2466	14	630	906.5195915	0.188948139	17.97285	2
2466	15	659	906.5158488	0.20594254	18.00376	2
2466	15	660	906.5263464	0.190633135	17.91251	2
2466	16	677	906.525314	0.192429695	17.93876	2
2466	17	621	906.5191809	0.204060927	17.93723	2
2466	17	622	906.5288809	0.190199396	17.92068	2
2466	18	669	906.5161835	0.203271119	17.90174	2
2466	18	670	906.5312634	0.192666693	17.9643	2
2466	19	635	906.5115027	0.201337272	18.02897	2
2466	19	636	906.5274527	0.19219094	17.94331	2
2466	20	679	906.5244458	0.191239978	17.84811	2
2466	21	417	906.5179326	0.203414978	18.14215	2
2466	21	418	906.5291664	0.190026062	18.05572	2
2466	22	654	906.518897	0.204294871	17.92933	2
2466	22	655	906.5271274	0.194218946	17.94261	2
2466	23	603	906.5151897	0.207686774	18.01158	2
2466	23	604	906.5281695	0.1985722	17.98562	2
2466	24	640	906.5155802	0.20213345	18.0879	2
2466	24	641	906.5278602	0.188124383	17.84529	2
2466	25	568	906.5180325	0.202684674	17.93272	2
2466	25	569	906.5293125	0.19243369	17.99929	2
2466	26	620	906.5182371	0.205164005	18.01563	2
2466	26	621	906.5273371	0.194540787	17.95345	2
2466	27	626	906.5188413	0.20166738	18.11932	2
2466	27	627	906.5268414	0.191898519	17.95453	2
2466	28	657	906.5196375	0.201057595	18.09353	2
2466	28	658	906.5252676	0.192208889	17.9501	2
2466	29	625	906.5170928	0.200853367	17.85359	2
2466	29	626	906.5303328	0.190170238	17.89813	2
2466	30	618	906.5153354	0.201147861	17.9097	2
2466	30	619	906.5279954	0.19257744	18.00411	2
2466	31	595	906.5254443	0.195665245	17.93005	2
2466	32	454	906.5171351	0.205390722	18.20224	2
2466	32	455	906.5277751	0.194659277	18.0416	2
2466	33	600	906.5162726	0.20489958	17.91667	2
2466	33	601	906.5279026	0.193897942	17.85813	2
2466	34	554	906.5213981	0.208254686	17.96121	2
2466	34	555	906.5319078	0.193069393	17.83579	2
2466	35	618	906.5157359	0.203719813	17.92813	2
2466	35	619	906.528386	0.187707897	17.76236	2
2466	36	328	906.5102741	0.206555171	18.12258	2
2466	37	679	906.516744	0.20626608	17.77543	2
2466	37	680	906.528944	0.184653507	17.8893	2
2466	38	636	906.5267136	0.193687826	17.79359	2
2466	39	675	906.510074	0.201841602	18.02094	2
2466	39	676	906.526914	0.19465703	17.98475	2
2466	40	654	906.5124605	0.207410041	18.02441	2
2466	40	655	906.5291579	0.193030356	17.91038	2
2466	41	611	906.5154457	0.204315289	18.00056	2
2466	41	612	906.5258357	0.189496179	17.95164	2
2466	42	621	906.5186644	0.204903893	18.03283	2
2466	42	622	906.5274844	0.193414934	17.96018	2
2466	43	412	906.5215145	0.199360076	18.06878	2
2466	43	413	906.5296945	0.189519914	18.06955	2
2466	44	644	906.5167911	0.208183652	18.02514	2
2466	44	645	906.5274711	0.194287794	17.88466	2
2466	45	543	906.5190715	0.204559758	18.08149	2
2466	45	544	906.5279317	0.194312676	17.90318	2
2466	46	589	906.5146366	0.202560006	17.94241	2
2466	46	590	906.5248066	0.188431433	17.9698	2
2466	47	575	906.5168757	0.20386524	18.02179	2
2466	47	576	906.528293	0.190046261	17.93593	2
2466	48	627	906.5176261	0.204262265	17.97477	2
2466	48	628	906.5275563	0.190325018	17.91978	2
2466	49	573	906.5133295	0.205746502	17.94017	2
2466	49	574	906.5278395	0.192853708	17.94717	2
2466	50	579	906.518281	0.201122569	17.87582	2
2466	50	580	906.525371	0.189084729	17.97051	2
2466	51	529	906.5173109	0.204670928	17.942	2
2466	51	530	906.5277194	0.193532326	17.94294	2
2466	52	554	906.5164725	0.208758078	18.05448	2
2466	52	555	906.5281727	0.195300714	17.95918	2
2466	53	537	906.5189012	0.206249546	17.94839	2
